city_name,lat,lon
Madrid,40.4168,-3.7038
Barcelona,41.3851,2.1734
Valencia,39.4699,-0.3763
Sevilla,37.3891,-5.9845
Zaragoza,41.6488,-0.8891
Malaga,36.7213,-4.4214
Murcia,37.9922,-1.1307
Palma,39.5696,2.6502
Las Palmas de Gran Canaria,28.1235,-15.4363
Bilbao,43.263,-2.935
Alicante,38.3452,-0.481
Cordoba,37.8882,-4.7794
Valladolid,41.6523,-4.7245
Vigo,42.2406,-8.7207
Gijon,43.5322,-5.6611
L'Hospitalet de Llobregat,41.3597,2.1003
A Coruna,43.3623,-8.4115
Vitoria-Gasteiz,42.8467,-2.6716
Granada,37.1773,-3.5986
Elche,38.2699,-0.7126
Oviedo,43.3619,-5.8494
Badalona,41.4505,2.2474
Cartagena,37.6257,-0.9966
Terrassa,41.5632,2.0089
Jerez de la Frontera,36.685,-6.1261
Sabadell,41.5463,2.1086
Mostoles,40.3223,-3.8649
Santa Cruz de Tenerife,28.4636,-16.2518
Pamplona,42.8125,-1.6458
Almeria,36.834,-2.4637
Albacete,38.9942,-1.8585
Santander,43.4623,-3.8099
Burgos,42.3439,-3.6969
Salamanca,40.9701,-5.6635
Cadiz,36.5271,-6.2886
Donostia-San Sebastian,43.3183,-1.9812
Marbella,36.5101,-4.8825
Tarragona,41.1189,1.2445
Logrono,42.4627,-2.4449
Toledo,39.8628,-4.0273
